0,-0.032953,-1.0014
0.001,-0.031638,-1.0004
0.002,-0.031638,-0.99944
0.003,-0.031966,-0.99845
0.004,-0.03098,-0.99714
0.005,-0.032295,-0.99648
0.006,-0.031638,-0.99516
0.007,-0.033281,-0.99418
0.008,-0.031309,-0.99319
0.009,-0.031966,-0.99253
0.01,-0.031638,-0.99122
0.011,-0.029665,-0.98958
0.012,-0.032295,-0.98925
0.013,-0.031966,-0.98859
0.014,-0.032953,-0.98728
0.015,-0.031966,-0.98629
0.016,-0.032624,-0.9853
0.017,-0.032295,-0.98497
0.018,-0.031638,-0.98333
0.019,-0.032295,-0.98202
0.02,-0.031966,-0.98136
0.021,-0.031966,-0.98037
0.022,-0.031638,-0.97873
0.023,-0.032624,-0.9784
0.024,-0.031309,-0.97741
0.025,-0.031638,-0.97708
0.026,-0.032624,-0.97577
0.027,-0.03098,-0.97413
0.028,-0.032624,-0.97314
0.029,-0.031638,-0.97314
0.03,-0.032295,-0.9715
0.031,-0.032295,-0.97018
0.032,-0.031638,-0.96887
0.033,-0.031638,-0.96854
0.034,-0.031966,-0.96722
0.035,-0.032953,-0.96689
0.036,-0.03098,-0.96525
0.037,-0.03098,-0.96426
0.038,-0.030323,-0.96393
0.039,-0.031638,-0.96196
0.04,-0.031966,-0.9613
0.041,-0.031309,-0.96032
0.042,-0.033281,-0.95966
0.043,-0.031309,-0.95835
0.044,-0.031966,-0.95736
0.045,-0.031966,-0.95637
0.046,-0.032295,-0.95539
0.047,-0.031966,-0.95473
0.048,-0.031309,-0.95374
0.049,-0.031309,-0.95243
0.05,-0.032295,-0.95144
0.051,-0.032295,-0.95013
0.052,-0.032295,-0.9498
0.053,-0.031966,-0.94848
0.054,-0.032953,-0.9475
0.055,-0.031309,-0.94684
0.056,-0.031638,-0.94553
0.057,-0.031966,-0.94454
0.058,-0.031966,-0.94322
0.059,-0.031309,-0.9429
0.06,-0.032295,-0.94158
0.061,-0.03098,-0.94027
0.062,-0.031638,-0.93928
0.063,-0.032295,-0.93829
0.064,-0.031638,-0.93731
0.065,-0.029994,-0.93632
0.066,-0.031966,-0.93501
0.067,-0.031966,-0.93435
